# L2Reduced_8-20NC_CALOR2017-19.root
#
# [status]
#  1 :CR    (w/ track)
#  0 :Noise (w/o track or noise covers track) 
# -1 :Too noisy  
# -2 :Almost no CAL data (missing hit info)
#
# [ID] [SID] [ts:sec] [ts:usec] [status]
0000 00 1503422297 771238 1
0000 01 1503422909 393959 1
0000 02 1503423481 985480 1
0000 03 1503424415 460520 1
0000 04 1503424979 666546 0
0000 05 1503425108 659563 0
0000 06 1503425435  70576 0
0000 07 1503425615 148149 1
0000 08 1503426371 878535 1
0000 09 1503426407  28950 1
0000 10 1503426689 204015 0
0000 11 1503426757 283677 1
0000 12 1503427062 724793 1
0000 13 1503427850 427941 1
0000 14 1503428118 268620 1
0000 15 1503428896 266074 1
0000 16 1503429031 501656 1
0000 17 1503429254 646754 1
0000 18 1503429306 391295 1
0000 19 1503429352 335980 1
0000 20 1503430283 745358 1
0000 21 1503430517 195529 0
0000 22 1503430598 499603 0
0000 23 1503430685 392229 0
0000 24 1503430687 812098 0
0000 25 1503430718 478949 0
0000 26 1503430724 119117 0
0000 27 1503430726 475018 0
0000 28 1503430730 867615 0
0000 29 1503430735 332705 0
0000 30 1503430750 191751 0
0000 31 1503430752 484914 0
0000 32 1503430769  47461 0
0000 33 1503430772 596309 0
0000 34 1503430795 663764 0
0000 35 1503430828 890846 0
0000 36 1503430838 766258 0
0000 37 1503430846 892924 0
0000 38 1503430849 705261 0
0000 39 1503430860 755299 0
0001 00 1503430863 828792 0
0001 01 1503430865 221462 0
0001 02 1503431938  17359 0
0001 03 1503432014 962471 0
0001 04 1503432035  13377 0
0001 05 1503432092 781452 0
0001 06 1503432163  17512 0
0001 07 1503486900 102200 1
0001 08 1503487875 535456 1
0001 09 1503487940 419671 0
0001 10 1503488128 393304 0
0001 11 1503488435 574057 0
0001 12 1503488486 418858 0
0001 13 1503488609 281059 0
0001 14 1503488655 275209 0
0001 15 1503488686 966741 0
0001 16 1503488840 670849 0
0001 17 1503488876 411648 0
0001 18 1503488911 199091 0
0001 19 1503488957 591682 1
0001 20 1503488980 907836 0
0001 21 1503489047 990773 0
0001 22 1503489062 401822 0
0001 23 1503489423 715128 0
0001 24 1503490394 958077 1
0001 25 1503490465 293230 1
0001 26 1503490468 867697 1
0001 27 1503491951 874439 1
0001 28 1503491959 973455 1
0001 29 1503492705  18789 1
0001 30 1503492798 428505 1
0001 31 1503492832 569796 0
0001 32 1503492956 967645 1
0001 33 1503493195 428761 0
0001 34 1503494266 732964 0
0001 35 1503494313 264033 0
0001 36 1503495122 504396 1
0001 37 1503495551 384011 0
0001 38 1503495699 408749 1
0001 39 1503495998 751002 0
0002 00 1503495999 829952 0
0002 01 1503496007 760023 0
0002 02 1503496123 949712 0
0002 03 1503496166 421407 0
0002 04 1503496275 297780 1
0002 05 1503496333 605904 1
0002 06 1503496402 678360 0
0002 07 1503496593 504389 1
0002 08 1503497043 513570 0
0002 09 1503497123 228367 1
0002 10 1503497510 983115 1
0002 11 1503497554 371776 1
0002 12 1503497752  58840 1
0002 13 1503498591 474209 1
0002 14 1503498604 632411 1
0002 15 1503498691 328337 0
0002 16 1503498791 510040 1
0002 17 1503499005 197463 0
0002 18 1503499029 898574 1
0002 19 1503499391 242207 0
0002 20 1503499613 651705 1
0002 21 1503500688 809670 1
0002 22 1503500701 561897 0
0002 23 1503501031  95053 0
0002 24 1503501242 729526 1
0002 25 1503502412  95978 0
0002 26 1503502676 419111 0
0002 27 1503502903 557033 0
0002 28 1503503138 749631 0
0002 29 1503503256  16541 0
0002 30 1503503292 322303 0
0002 31 1503503300  91228 0
0002 32 1503503337 921220 0
0002 33 1503503432 191809 0
0002 34 1503503454 193778 0
0002 35 1503503456 890252 0
0002 36 1503503532 601480 0
0002 37 1503503756  14836 0
0002 38 1503503922 307447 1
0002 39 1503504393 959830 1
0003 00 1503504844 406745 1
0003 01 1503505914 506352 1
0003 02 1503505990 148206 1
0003 03 1503506046  38631 0
0003 04 1503506907 931021 0
0003 05 1503507076   8434 1
0003 06 1503507352 609724 0
0003 07 1503507368 248518 1
0003 08 1503507421 250998 0
0003 09 1503507451  52311 0
0003 10 1503507493  11059 0
0003 11 1503507507 289932 1
0003 12 1503507515  18907 0
0003 13 1503507522  78986 0
0003 14 1503507541 283493 0
0003 15 1503507729 422470 1
0003 16 1503507877 702779 0
0003 17 1503507882 242434 0
0003 18 1503508117 429677 0
0003 19 1503508275  32072 0
0003 20 1503508547  17569 0
0003 21 1503508560  28254 0
0003 22 1503509698 465009 0
0003 23 1503509709 152046 0
0003 24 1503509730 234031 0
0003 25 1503509739 715497 0
0003 26 1503509767 717327 0
0003 27 1503509774 116498 0
0003 28 1503509786 981333 0
0003 29 1503509791 639641 0
0003 30 1503509793 701584 0
0003 31 1503509815 809667 0
0003 32 1503509828 766863 0
0003 33 1503509849 282807 0
0003 34 1503509851 153403 0
0003 35 1503509869 625859 0
0003 36 1503509886  10839 0
0003 37 1503509897 433888 0
0003 38 1503509910 522314 0
0003 39 1503509911 251456 0
0004 00 1503509920 596565 0
0004 01 1503509947  25753 0
0004 02 1503509947 540303 0
0004 03 1503510004 444205 0
0004 04 1503510023 126421 0
0004 05 1503510024  96154 0
0004 06 1503510075 979676 0
0004 07 1503510136 740005 0
0004 08 1503510280  87034 0
0004 09 1503510334 164030 0
0004 10 1503510335  84969 0
0004 11 1503510377 561269 0
0004 12 1503510578 195019 0
0004 13 1503510657 473588 0
0004 14 1503510660 983167 0
0004 15 1503510747 984985 0
0004 16 1503511063  21944 0
0004 17 1503511335  10065 0
0004 18 1503511404 813293 1
0004 19 1503511860 447058 1
0004 20 1503511938 433068 0
0004 21 1503512100 480547 1
0004 22 1503512786  11689 0
0004 23 1503512794  13623 0
0004 24 1503512802   2306 0
0004 25 1503512835   8774 0
0004 26 1503512843  14199 0
0004 27 1503512848  12487 0
0004 28 1503512852    360 0
0004 29 1503512859  10819 0
0004 30 1503512874    957 0
0004 31 1503512891  11801 0
0004 32 1503512898   4507 0
0004 33 1503512912   1049 0
0004 34 1503512916  11452 0
0004 35 1503512922  11681 0
0004 36 1503512935   1746 0
0004 37 1503512943   2552 0
0004 38 1503512957    859 0
0004 39 1503850297 607254 0
0005 00 1503850479 179786 1
0005 01 1503850484  90821 1
0005 02 1503850841 489212 1
0005 03 1503851323 371926 1
0005 04 1503851928 621299 1
0005 05 1503852430 985502 1
0005 06 1503852437 460907 1
0005 07 1503852655 302527 1
0005 08 1503852671 265646 1
0005 09 1503853025 572926 1
0005 10 1503853032 340143 1
0005 11 1503854835 283683 1
0005 12 1503855306 994698 1
0005 13 1503855395 257534 1
0005 14 1503855731 869824 1
0005 15 1503855837  62634 1
0005 16 1503855861 773075 1
0005 17 1503856219 634685 1
0005 18 1503933261 426688 1
0005 19 1503936207 106086 1
0005 20 1503997034  35310 0
0005 21 1503997887  85299 0
0005 22 1504000023 610296 1
0005 23 1504001281  52236 1
0005 24 1504001495  35397 0
0005 25 1504001882 573256 1
0005 26 1504001966 408859 1
0005 27 1504002418 947763 1
0005 28 1504002571 653830 1
0005 29 1504003162 718933 1
0005 30 1504003415 793490 1
0005 31 1504003457 322942 1
0005 32 1504003686 564084 1
0005 33 1504003828 564379 1
0005 34 1504003839 625603 1
0005 35 1504004142 712842 1
0005 36 1504004281 976418 1
0005 37 1504007678 786509 1
0005 38 1504010121  18670 1
0005 39 1504010906 825153 1
0006 00 1504011334 505826 1
0006 01 1504013375 123245 1
0006 02 1504014172 486453 1
